Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fo'1;Fo'2;Fo'3;Fo'4;Fo'5;Fo'6;Fo'7;Fo'8;Fo'9;Fo'10;Fo'11;Fo'12;Fo'13;Fo'14;Fo'15;Fo'16;Fo'17;Fo'18;Fo'19;Fo'20;Fo'21;Fo'22;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;ETR1;ETR2;ETR3;ETR4;ETR5;ETR6;ETR7;ETR8;ETR9;ETR10;ETR11;ETR12;ETR13;ETR14;ETR15;ETR16;ETR17;ETR18;ETR19;ETR20;ETR21;ETR22;
05.05.23;17:40:23;1;0;0.1005;0.1113;0.1147;0.1230;0.0882;0.1132;0.1441;0.0961;0.0843;0.0907;0.0843;0.0696;0.1157;0.1294;0.1103;0.1113;0.1059;0.0892;0.0887;0.0799;0.0858;0.0735;0.1848;0.1990;0.2275;0.2255;0.1824;0.1676;0.1819;0.1961;0.1603;0.1828;0.1578;0.1029;0.1824;0.2402;0.2127;0.2314;0.2255;0.1525;0.1623;0.1446;0.1623;0.1466;0.1005;0.1113;0.1147;0.1230;0.0882;0.1132;0.1441;0.0961;0.0843;0.0907;0.0843;0.0696;0.1157;0.1294;0.1103;0.1113;0.1059;0.0892;0.0887;0.0799;0.0858;0.0735;0.456;0.441;0.496;0.454;0.516;0.325;0.208;0.510;0.474;0.504;0.466;0.324;0.366;0.461;0.482;0.519;0.530;0.415;0.453;0.447;0.471;0.498;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;
05.05.23;17:43:27;2;1;0.1069;0.1137;0.1103;0.1255;0.0922;0.1152;0.1456;0.0985;0.0931;0.0936;0.0922;0.0696;0.1157;0.1309;0.1088;0.1118;0.1049;0.0912;0.1010;0.0887;0.0877;0.0775;0.1843;0.2029;0.2289;0.2279;0.1804;0.1686;0.1745;0.1926;0.1520;0.1897;0.1618;0.1005;0.1784;0.2353;0.2245;0.2343;0.2191;0.1485;0.1676;0.1441;0.1588;0.1495;0.1003;0.1125;0.1151;0.1238;0.0878;0.1137;0.1395;0.0952;0.0819;0.0923;0.0854;0.0685;0.1141;0.1280;0.1134;0.1120;0.1045;0.0879;0.0903;0.0798;0.0848;0.0743;0.420;0.440;0.518;0.449;0.489;0.317;0.166;0.489;0.387;0.506;0.430;0.307;0.352;0.444;0.515;0.523;0.521;0.386;0.398;0.384;0.448;0.482;  0.2;  0.2;  0.3;  0.2;  0.2;  0.2;  0.1;  0.2;  0.2;  0.3;  0.2;  0.2;  0.2;  0.2;  0.3;  0.3;  0.3;  0.2;  0.2;  0.2;  0.2;  0.2;
05.05.23;17:46:29;3;21;0.1025;0.1123;0.1216;0.1127;0.0946;0.0892;0.1480;0.1074;0.0814;0.0980;0.0887;0.0544;0.0902;0.1250;0.1118;0.1216;0.1069;0.0819;0.0975;0.0838;0.0931;0.0824;0.1510;0.1593;0.2152;0.1632;0.1794;0.1078;0.1529;0.1740;0.1157;0.1745;0.1392;0.0623;0.1196;0.1789;0.1985;0.2328;0.2132;0.1132;0.1358;0.1181;0.1309;0.1294;0.0896;0.0977;0.1115;0.1018;0.0875;0.0824;0.1253;0.0905;0.0701;0.0886;0.0787;0.0483;0.0868;0.1093;0.1063;0.1116;0.1031;0.0742;0.0802;0.0711;0.0761;0.0689;0.321;0.295;0.435;0.309;0.473;0.173;0.032;0.383;0.297;0.438;0.363;0.126;0.246;0.301;0.437;0.478;0.499;0.277;0.282;0.290;0.288;0.364;  3.4;  3.1;  4.6;  3.2;  5.0;  1.8;  0.3;  4.0;  3.1;  4.6;  3.8;  1.3;  2.6;  3.2;  4.6;  5.0;  5.2;  2.9;  3.0;  3.0;  3.0;  3.8;
05.05.23;17:49:32;4;56;0.0922;0.1064;0.1176;0.1015;0.0980;0.0809;0.1480;0.1083;0.0735;0.0990;0.0828;0.0485;0.0794;0.1132;0.1152;0.1260;0.1118;0.0775;0.0902;0.0784;0.0922;0.0784;0.1387;0.1520;0.2230;0.1407;0.1853;0.0917;0.1407;0.1716;0.1059;0.1824;0.1235;0.0549;0.0980;0.1618;0.2010;0.2412;0.2260;0.0980;0.1373;0.1176;0.1377;0.1284;0.0851;0.0949;0.1136;0.0926;0.0889;0.0726;0.1170;0.0898;0.0664;0.0906;0.0734;0.0437;0.0748;0.1026;0.1070;0.1135;0.1060;0.0673;0.0807;0.0709;0.0784;0.0687;0.336;0.300;0.473;0.279;0.471;0.118;0.000;0.369;0.306;0.457;0.329;0.116;0.190;0.300;0.427;0.478;0.505;0.210;0.343;0.333;0.331;0.389;  9.4;  8.4; 13.2;  7.8; 13.2;  3.3;  0.0; 10.3;  8.6; 12.8;  9.2;  3.3;  5.3;  8.4; 12.0; 13.4; 14.2;  5.9;  9.6;  9.3;  9.3; 10.9;
05.05.23;17:52:34;5;111;0.0824;0.0975;0.1250;0.0868;0.1049;0.0735;0.1436;0.1064;0.0681;0.0995;0.0706;0.0471;0.0696;0.1005;0.1103;0.1294;0.1176;0.0672;0.0863;0.0735;0.0877;0.0725;0.1069;0.1284;0.2216;0.1098;0.1887;0.0809;0.1373;0.1623;0.0819;0.1809;0.0975;0.0451;0.0814;0.1314;0.1716;0.2377;0.2255;0.0775;0.1196;0.1162;0.1240;0.1152;0.0720;0.0851;0.1132;0.0781;0.0897;0.0657;0.1146;0.0872;0.0561;0.0902;0.0634;0.0373;0.0647;0.0895;0.0981;0.1127;0.1059;0.0569;0.0742;0.0704;0.0738;0.0647;0.229;0.240;0.436;0.210;0.444;0.091;0.000;0.344;0.168;0.450;0.276;0.000;0.145;0.235;0.357;0.456;0.478;0.133;0.279;0.367;0.292;0.370; 12.7; 13.3; 24.2; 11.6; 24.7;  5.0;  0.0; 19.1;  9.3; 25.0; 15.3;  0.0;  8.0; 13.0; 19.8; 25.3; 26.5;  7.4; 15.5; 20.4; 16.2; 20.5;
05.05.23;17:55:37;6;186;0.0706;0.0843;0.1240;0.0799;0.1034;0.0716;0.1407;0.0995;0.0613;0.1005;0.0662;0.0422;0.0627;0.0897;0.0995;0.1279;0.1240;0.0618;0.0740;0.0652;0.0828;0.0681;0.0907;0.1049;0.2015;0.0892;0.1711;0.0721;0.1304;0.1353;0.0696;0.1652;0.0784;0.0377;0.0681;0.1039;0.1319;0.2074;0.1975;0.0652;0.0941;0.0853;0.1064;0.0946;0.0642;0.0741;0.1077;0.0671;0.0855;0.0597;0.1098;0.0787;0.0500;0.0861;0.0547;0.0321;0.0561;0.0758;0.0837;0.1054;0.0993;0.0500;0.0636;0.0577;0.0671;0.0576;0.222;0.196;0.384;0.104;0.395;0.000;0.000;0.264;0.120;0.392;0.156;0.000;0.079;0.137;0.245;0.383;0.372;0.000;0.214;0.236;0.221;0.280; 20.6; 18.3; 35.8;  9.7; 36.8;  0.0;  0.0; 24.6; 11.1; 36.4; 14.5;  0.0;  7.4; 12.7; 22.8; 35.6; 34.6;  0.0; 19.9; 21.9; 20.6; 26.0;
05.05.23;17:58:40;7;281;0.0632;0.0730;0.1142;0.0691;0.0985;0.0706;0.1338;0.0843;0.0505;0.0882;0.0554;0.0368;0.0574;0.0745;0.0848;0.1147;0.1118;0.0539;0.0623;0.0544;0.0750;0.0588;0.0681;0.0838;0.1652;0.0696;0.1515;0.0662;0.1265;0.1064;0.0544;0.1289;0.0627;0.0328;0.0593;0.0833;0.1083;0.1637;0.1598;0.0569;0.0716;0.0730;0.0917;0.0730;0.0520;0.0629;0.0964;0.0554;0.0803;0.0556;0.1070;0.0680;0.0417;0.0751;0.0466;0.0285;0.0500;0.0643;0.0735;0.0928;0.0888;0.0450;0.0524;0.0518;0.0610;0.0489;0.072;0.129;0.309;0.000;0.350;0.000;0.000;0.207;0.000;0.316;0.117;0.000;0.000;0.106;0.217;0.299;0.301;0.000;0.130;0.255;0.182;0.195; 10.1; 18.1; 43.4;  0.0; 49.1;  0.0;  0.0; 29.1;  0.0; 44.3; 16.5;  0.0;  0.0; 14.9; 30.5; 42.1; 42.2;  0.0; 18.3; 35.8; 25.5; 27.3;
05.05.23;18:01:42;8;336;0.0520;0.0642;0.1000;0.0603;0.1010;0.0647;0.1304;0.0735;0.0480;0.0799;0.0505;0.0324;0.0569;0.0667;0.0740;0.1039;0.0990;0.0500;0.0549;0.0510;0.0652;0.0529;0.0632;0.0735;0.1338;0.0647;0.1338;0.0716;0.1211;0.0887;0.0515;0.1098;0.0569;0.0294;0.0539;0.0760;0.0902;0.1490;0.1422;0.0520;0.0608;0.0588;0.0824;0.0583;0.0491;0.0569;0.0848;0.0522;0.0751;0.0594;0.1031;0.0603;0.0399;0.0682;0.0433;0.0259;0.0461;0.0598;0.0647;0.0879;0.0830;0.0419;0.0464;0.0442;0.0567;0.0418;0.178;0.127;0.253;0.068;0.245;0.096;0.000;0.171;0.000;0.272;0.112;0.000;0.000;0.123;0.179;0.303;0.303;0.000;0.097;0.133;0.208;0.092; 30.0; 21.3; 42.5; 11.5; 41.2; 16.1;  0.0; 28.8;  0.0; 45.7; 18.8;  0.0;  0.0; 20.6; 30.1; 50.8; 51.0;  0.0; 16.3; 22.4; 35.0; 15.5;
05.05.23;18:04:45;9;396;0.0515;0.0627;0.0912;0.0593;0.0873;0.0681;0.1230;0.0657;0.0446;0.0711;0.0422;0.0324;0.0525;0.0647;0.0657;0.0922;0.0961;0.0485;0.0461;0.0466;0.0593;0.0456;0.0500;0.0623;0.1152;0.0613;0.1230;0.0593;0.1132;0.0824;0.0446;0.0892;0.0456;0.0309;0.0505;0.0672;0.0828;0.1260;0.1260;0.0422;0.0471;0.0495;0.0662;0.0495;0.0407;0.0499;0.0769;0.0500;0.0715;0.0507;0.0974;0.0573;0.0357;0.0596;0.0364;0.0270;0.0435;0.0542;0.0608;0.0793;0.0772;0.0352;0.0379;0.0388;0.0485;0.0371;0.000;0.000;0.209;0.000;0.291;0.000;0.000;0.202;0.000;0.203;0.000;0.000;0.000;0.000;0.207;0.268;0.237;0.000;0.000;0.000;0.104;0.000;  0.0;  0.0; 41.3;  0.0; 57.6;  0.0;  0.0; 40.1;  0.0; 40.3;  0.0;  0.0;  0.0;  0.0; 41.0; 53.2; 47.0;  0.0;  0.0;  0.0; 20.5;  0.0;
05.05.23;18:07:47;10;461;0.0451;0.0539;0.0809;0.0564;0.0877;0.0672;0.1196;0.0598;0.0407;0.0637;0.0382;0.0279;0.0525;0.0569;0.0583;0.0843;0.0863;0.0446;0.0431;0.0407;0.0525;0.0407;0.0456;0.0559;0.1010;0.0593;0.1054;0.0569;0.1098;0.0676;0.0471;0.0740;0.0412;0.0289;0.0451;0.0603;0.0657;0.1064;0.1049;0.0417;0.0431;0.0431;0.0574;0.0446;0.0378;0.0458;0.0703;0.0487;0.0652;0.0489;0.0948;0.0498;0.0372;0.0524;0.0335;0.0255;0.0395;0.0496;0.0510;0.0711;0.0688;0.0349;0.0353;0.0347;0.0436;0.0343;0.000;0.000;0.199;0.000;0.167;0.000;0.000;0.116;0.135;0.139;0.000;0.000;0.000;0.000;0.112;0.207;0.178;0.000;0.000;0.000;0.085;0.000;  0.0;  0.0; 45.9;  0.0; 38.6;  0.0;  0.0; 26.7; 31.2; 32.1;  0.0;  0.0;  0.0;  0.0; 25.8; 47.8; 40.9;  0.0;  0.0;  0.0; 19.7;  0.0;
05.05.23;18:10:50;11;531;0.0456;0.0475;0.0730;0.0529;0.0794;0.0686;0.1157;0.0578;0.0426;0.0569;0.0363;0.0338;0.0490;0.0569;0.0559;0.0765;0.0824;0.0471;0.0397;0.0461;0.0529;0.0387;0.0466;0.0485;0.0892;0.0525;0.0931;0.0578;0.1064;0.0583;0.0373;0.0637;0.0358;0.0294;0.0441;0.0583;0.0583;0.0897;0.0931;0.0397;0.0353;0.0431;0.0495;0.0397;0.0384;0.0407;0.0644;0.0439;0.0603;0.0496;0.0922;0.0445;0.0308;0.0471;0.0299;0.0259;0.0387;0.0483;0.0465;0.0632;0.0635;0.0335;0.0299;0.0347;0.0389;0.0313;0.000;0.000;0.181;0.000;0.147;0.000;0.000;0.000;0.000;0.108;0.000;0.000;0.000;0.000;0.000;0.148;0.116;0.000;0.000;0.000;0.000;0.000;  0.0;  0.0; 48.1;  0.0; 39.1;  0.0;  0.0;  0.0;  0.0; 28.6;  0.0;  0.0;  0.0;  0.0;  0.0; 39.2; 30.7;  0.0;  0.0;  0.0;  0.0;  0.0;
05.05.23;18:13:52;12;611;0.0407;0.0471;0.0662;0.0544;0.0672;0.0647;0.1196;0.0529;0.0377;0.0510;0.0377;0.0324;0.0441;0.0495;0.0534;0.0686;0.0716;0.0446;0.0299;0.0353;0.0426;0.0324;0.0397;0.0456;0.0672;0.0505;0.0873;0.0544;0.1049;0.0515;0.0412;0.0593;0.0363;0.0255;0.0397;0.0534;0.0544;0.0765;0.0809;0.0426;0.0363;0.0377;0.0436;0.0353;0.0336;0.0386;0.0521;0.0426;0.0578;0.0471;0.0911;0.0404;0.0334;0.0446;0.0302;0.0228;0.0353;0.0449;0.0440;0.0564;0.0576;0.0356;0.0306;0.0312;0.0352;0.0285;0.000;0.000;0.000;0.000;0.230;0.000;0.000;0.000;0.000;0.140;0.000;0.000;0.000;0.000;0.000;0.103;0.115;0.000;0.176;0.000;0.000;0.000;  0.0;  0.0;  0.0;  0.0; 70.4;  0.0;  0.0;  0.0;  0.0; 42.9;  0.0;  0.0;  0.0;  0.0;  0.0; 31.3; 35.2;  0.0; 53.7;  0.0;  0.0;  0.0;
05.05.23;18:16:55;13;701;0.0392;0.0451;0.0608;0.0534;0.0735;0.0627;0.1225;0.0500;0.0382;0.0475;0.0343;0.0245;0.0456;0.0510;0.0525;0.0623;0.0642;0.0461;0.0353;0.0353;0.0392;0.0299;0.0377;0.0422;0.0598;0.0461;0.0711;0.0529;0.1152;0.0515;0.0363;0.0500;0.0348;0.0245;0.0387;0.0485;0.0520;0.0696;0.0755;0.0387;0.0265;0.0314;0.0392;0.0343;0.0322;0.0361;0.0475;0.0394;0.0502;0.0460;0.0988;0.0404;0.0301;0.0391;0.0292;0.0220;0.0345;0.0414;0.0424;0.0525;0.0548;0.0328;0.0233;0.0267;0.0323;0.0278;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.106;0.149;0.000;0.000;0.000;0.000;0.129;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 37.0; 52.3;  0.0;  0.0;  0.0;  0.0; 45.1;
05.05.23;18:19:57;14;801;0.0392;0.0461;0.0544;0.0515;0.0618;0.0593;0.1289;0.0456;0.0328;0.0431;0.0324;0.0284;0.0426;0.0446;0.0475;0.0564;0.0613;0.0461;0.0275;0.0319;0.0382;0.0299;0.0343;0.0417;0.0564;0.0461;0.0618;0.0510;0.1176;0.0485;0.0319;0.0456;0.0319;0.0225;0.0431;0.0412;0.0495;0.0574;0.0578;0.0387;0.0250;0.0328;0.0348;0.0319;0.0297;0.0358;0.0453;0.0394;0.0454;0.0445;0.1006;0.0386;0.0270;0.0364;0.0271;0.0204;0.0380;0.0359;0.0407;0.0452;0.0448;0.0328;0.0222;0.0277;0.0292;0.0262;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;
