Angle - Synchr.,2θ,normalized I - 10 polyps no heating,normalized I - 10 polyps after heating
5.932,26.00774212,0.670111404,0.696584527
5.934,26.01665657,0.676913018,0.694453667
5.936,26.02557118,0.676383788,0.70032541
5.938,26.03448595,0.679588684,0.702285197
5.94,26.04340086,0.686658295,0.70767989
5.942,26.05231593,0.684033631,0.712193012
5.944,26.06123115,0.687662645,0.717183404
5.946,26.07014652,0.698139243,0.720331388
5.948,26.07906205,0.703146441,0.727780369
5.95,26.08797772,0.712780452,0.737740427
5.952,26.09689355,0.718842973,0.74783842
5.954,26.10580953,0.730292097,0.757653073
5.956,26.11472567,0.745032862,0.766052282
5.958,26.12364196,0.755308311,0.772086327
5.96,26.1325584,0.777639866,0.79165834
5.962,26.14147499,0.802503207,0.804442677
5.964,26.15039174,0.832005952,0.818538107
5.966,26.15930864,0.866367314,0.836010609
5.968,26.16822569,0.91693632,0.856251567
5.97,26.1771429,0.970244653,0.876334898
5.972,26.18606026,1,0.898830647
5.974,26.19497777,0.992402757,0.919996054
5.976,26.20389544,0.940985536,0.934428149
5.978,26.21281326,0.883709333,0.941027539
5.98,26.22173123,0.839788597,0.93554393
5.982,26.23064935,0.806794329,0.915721908
5.984,26.23956763,0.777295094,0.896477472
5.986,26.24848607,0.759887758,0.868920844
5.988,26.25740466,0.745862773,0.85017181
5.99,26.2663234,0.735682513,0.826169853
5.992,26.27524229,0.722456766,0.804426272
5.994,26.28416134,0.713093403,0.788383409
5.996,26.29308054,0.703241784,0.778749448
5.998,26.3019999,0.703522101,0.763331832
6,26.31091941,0.696746207,0.748523484
6.002,26.31983907,0.691482335,0.745806182
6.004,26.32875889,0.689653131,0.731372551
6.006,26.33767887,0.686305541,0.734101645
6.008,26.34659899,0.679357053,0.717787695
6.01,26.35551928,0.677939764,0.713106054
6.012,26.36443971,0.675122296,0.70932039
6.014,26.3733603,0.667439489,0.709632062
6.016,26.38228105,0.671777937,0.701712744
6.018,26.39120195,0.665980337,0.703176374
6.02,26.400123,0.665468188,0.702084924