Angle - Synchr.,2θ,normalized I - 1 polyp no heating,normalized I - 1 polyp after heating
6.624,29.10163793,0.576702387,0.520385114
6.626,29.11060864,0.577028754,0.520256665
6.628,29.11957953,0.581064039,0.521236557
6.63,29.12855059,0.583198029,0.523068918
6.632,29.13752183,0.593831863,0.523058757
6.634,29.14649323,0.602169293,0.525139387
6.636,29.15546481,0.612539138,0.525311773
6.638,29.16443657,0.613701867,0.52734536
6.64,29.17340849,0.607981311,0.524855742
6.642,29.1823806,0.596931179,0.524860796
6.644,29.19135287,0.586410751,0.526945144
6.646,29.20032532,0.580360824,0.529103236
6.648,29.20929794,0.577967597,0.530795088
6.65,29.21827074,0.575691683,0.531878977
6.652,29.22724371,0.572259175,0.533595515
6.654,29.23621686,0.568488074,0.536734397
6.656,29.24519018,0.573794212,0.541828037
6.658,29.25416367,0.569972891,0.545188741
6.66,29.26313734,0.570000371,0.551031505
6.662,29.27211118,0.567854115,0.558160372
6.664,29.2810852,0.568383847,0.567676247
6.666,29.29005939,0.566685676,0.580574744
6.668,29.29903375,0.568175133,0.589021179
6.67,29.30800829,0.566153101,0.601859535
6.672,29.31698301,0.567525381,0.621218838
6.674,29.3259579,0.568550672,0.633756017
6.676,29.33493296,0.566625902,0.651765668
6.678,29.3439082,0.565742189,0.666603737
6.68,29.35288362,0.566612622,0.68246123
6.682,29.36185921,0.56960897,0.694458005
6.684,29.37083497,0.566991428,0.704547705
6.686,29.37981091,0.565365988,0.712975433
6.688,29.38878702,0.567839511,0.714263072
6.69,29.39776331,0.566611844,0.710945562
6.692,29.40673978,0.568976524,0.704073104
6.694,29.41571642,0.566883094,0.693793277
6.696,29.42469323,0.568021941,0.679298339
6.698,29.43367023,0.565998933,0.663570958
6.7,29.44264739,0.565490508,0.648515242
6.702,29.45162473,0.565849367,0.635944234
6.704,29.46060225,0.56616542,0.61969808
6.706,29.46957995,0.565800957,0.609566026
6.708,29.47855782,0.567084662,0.597010249
6.71,29.48753586,0.566656992,0.584893089
6.712,29.49651408,0.568395837,0.576271991
6.714,29.50549248,0.565398587,0.566285006
6.716,29.51447105,0.562119629,0.559652595
6.718,29.5234498,0.564574041,0.550157261
6.72,29.53242873,0.562793999,0.545458649
6.722,29.54140783,0.565505207,0.545951268
6.724,29.55038711,0.564418251,0.538757442
6.726,29.55936657,0.56504315,0.532828528
6.728,29.5683462,0.564944416,0.531716968
6.73,29.577326,0.565675823,0.531858116
6.732,29.58630599,0.562622841,0.532298132
6.734,29.59528615,0.566635593,0.530342734
6.736,29.60426649,0.566967714,0.529637861
6.738,29.613247,0.568627365,0.525207151
6.74,29.62222769,0.565648631,0.52718059
6.742,29.63120856,0.563122427,0.527534032
6.744,29.64018961,0.566382565,0.519056367
6.746,29.64917083,0.566995378,0.528010741
6.748,29.65815223,0.564439963,0.524475717
6.75,29.6671338,0.564339446,0.519226004
6.752,29.67611556,0.563847532,0.521799158
6.754,29.68509749,0.566457658,0.52294081
6.756,29.69407959,0.566034286,0.526893127
6.758,29.70306188,0.56651933,0.52236814