Date,Sample.ID,Chamber.ID,Plate,TemperatureCat,Type,Salinity,Org.Number,Notes
20230505,Plate1-SpatA1,A1,Plate1,23,Sample,39,1,
20230505,Plate1-SpatB1,B1,Plate1,23,Sample,39,1,
20230505,Plate1-SpatC1,C1,Plate1,23,Sample,39,1,
20230505,BLNK-1,D1,Plate1,23,Blank,39,1,
20230505,Plate1-SpatA2,A2,Plate1,23,Sample,39,1,
20230505,Plate1-SpatB2,B2,Plate1,23,Sample,39,1,
20230505,Plate1-SpatC2,C2,Plate1,23,Sample,39,1,
20230505,Plate1-SpatD2,D2,Plate1,23,Sample,39,1,
20230505,Plate1-SpatA3,A3,Plate1,23,Sample,39,1,
20230505,Plate1-SpatB3,B3,Plate1,23,Sample,39,1,
20230505,Plate1-SpatC3,C3,Plate1,23,Sample,39,1,
20230505,Plate1-SpatD3,D3,Plate1,23,Sample,39,1,
20230505,Plate1-SpatA4,A4,Plate1,23,Sample,39,1,
20230505,Plate1-SpatB4,B4,Plate1,23,Sample,39,1,
20230505,Plate1-SpatC4,C4,Plate1,23,Sample,39,1,
20230505,Plate1-SpatD4,D4,Plate1,23,Sample,39,1,
20230505,Plate1-SpatA5,A5,Plate1,23,Sample,39,1,
20230505,Plate1-SpatB5,B5,Plate1,23,Sample,39,1,
20230505,Plate1-SpatC5,C5,Plate1,23,Sample,39,1,
20230505,Plate1-SpatD5,D5,Plate1,23,Sample,39,1,
20230505,Plate1-SpatA6,A6,Plate1,23,Sample,39,1,
20230505,Plate1-SpatB6,B6,Plate1,23,Sample,39,1,
20230505,BLNK-2,C6,Plate1,23,Blank,39,1,
20230505,Plate1-SpatD6,D6,Plate1,23,Sample,39,1,
20230505,Plate2-SpatA1,A1,Plate2,23,Sample,39,1,
20230505,Plate2-SpatB1,B1,Plate2,23,Sample,39,1,
20230505,Plate2-SpatC1,C1,Plate2,23,Sample,39,1,
20230505,Plate2-SpatD1,D1,Plate2,23,Sample,39,1,
20230505,Plate2-SpatA2,A2,Plate2,23,Sample,39,1,
20230505,BLNK-3,B2,Plate2,23,Sample,39,1,
20230505,Plate2-SpatC2,C2,Plate2,23,Sample,39,1,
20230505,Plate2-SpatD2,D2,Plate2,23,Sample,39,1,
20230505,Plate2-SpatA3,A3,Plate2,23,Sample,39,1,
20230505,Plate2-SpatB3,B3,Plate2,23,Sample,39,1,
20230505,Plate2-SpatC3,C3,Plate2,23,Sample,39,1,
20230505,BLNK-4,D3,Plate2,23,Sample,39,1,
20230505,Plate2-SpatA4,A4,Plate2,23,Sample,39,1,
20230505,Plate2-SpatB4,B4,Plate2,23,Sample,39,1,
20230505,Plate2-SpatC4,C4,Plate2,23,Sample,39,1,
20230505,Plate2-SpatD4,D4,Plate2,23,Sample,39,1,
20230505,Plate2-SpatA5,A5,Plate2,23,Sample,39,1,
20230505,Plate2-SpatB5,B5,Plate2,23,Sample,39,1,
20230505,Plate2-SpatC5,C5,Plate2,23,Sample,39,1,
20230505,Plate2-SpatD5,D5,Plate2,23,Sample,39,1,
20230505,Plate2-SpatA6,A6,Plate2,23,Sample,39,1,
20230505,Plate2-SpatB6,B6,Plate2,23,Sample,39,1,
20230505,Plate2-SpatC6,C6,Plate2,23,Sample,39,1,
20230505,Plate2-SpatD6,D6,Plate2,23,Sample,39,1,