Measurement Name :,Meas-710,,Generated On :,"11/05/2023, 12:22:51",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION

Serial number     : SEBX0007000710      

MUX channel       : ON - 02


PARAMETERS

Sig LED current   : 040

Ref LED current   : 075

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m02:RDY",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"07/03/2023, 01:36:16",,,,,,Batch No.:  ,SV-PSt5-1651-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"07/03/2023, 01:50:46",,,,,,O2_cal0 [°],54.9,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.66,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.7,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],979,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
07.03.23 01:36:18,0.03,216.3,156.08,215.63,250.63,165,163.46,150.6,150.6,191.48,197.93,170.29,183.18,154.86,179.38,172.78,156.39,123.8,178.44,146.97,128.2,172.78,187.64,228.69,133.81,,23,979,39,26,
07.03.23 01:36:34,0.3,215.3,156.7,215.63,250.63,164.39,162.53,150.6,150.3,191.48,198.25,170.6,182.55,154.56,179.38,172.47,156.08,123.8,178.75,146.97,128.49,172.47,187.96,229.36,133.51,,23,979,39,25.99,
07.03.23 01:36:49,0.55,213.31,156.08,214.31,249.59,163.77,161.3,150.3,148.48,190.84,197.93,169.35,182.23,154.56,179.07,172.47,154.86,122.93,179.38,146.67,127.32,172.16,188.28,229.7,133.51,,23,979,39,25.99,
07.03.23 01:37:04,0.8,212.32,155.78,214.31,248.89,163.46,161.92,149.69,148.18,190.84,197.93,169.04,182.23,154.56,178.44,172.78,154.86,122.63,179.7,146.37,127.02,172.78,188.6,229.7,132.92,,23,979,39,25.99,
07.03.23 01:37:19,1.05,211,154.86,213.64,247.85,162.84,160.68,148.18,146.97,190.52,197.93,168.11,181.6,153.95,178.12,172.78,154.25,122.34,178.75,146.37,126.14,171.85,188.28,229.7,132.33,,23,979,39,25.98,
07.03.23 01:37:34,1.3,211,154.56,212.65,247.5,160.99,159.45,147.88,146.67,190.52,197.28,167.49,181.6,153.95,177.18,172.47,153.34,121.18,178.44,146.37,125.56,171.53,187.96,230.04,132.03,,23,979,39,25.98,
07.03.23 01:37:49,1.55,210.34,153.64,212.65,247.16,161.3,158.53,147.57,146.07,189.56,197.61,168.42,181.6,153.64,177.18,172.16,153.34,120.59,178.12,145.76,125.56,171.53,188.92,230.04,131.44,,23,979,39,25.99,
07.03.23 01:38:04,1.8,209.03,153.64,212.32,246.47,160.07,157.92,147.57,145.76,189.24,196.64,167.8,180.96,153.03,177.49,172.78,152.12,120.3,177.81,145.16,124.68,170.91,188.6,230.38,131.44,,23,979,39,25.99,
07.03.23 01:38:19,2.05,209.36,153.64,212.65,246.81,159.45,157.61,146.97,144.86,189.24,197.28,167.8,180.65,153.34,177.18,172.78,152.73,119.72,177.49,145.46,124.97,171.53,189.24,230.38,131.15,,23,979,39,25.99,
07.03.23 01:38:34,2.3,207.71,153.03,210.67,245.43,158.84,156.08,145.76,143.96,188.28,196.31,167.17,180.02,152.42,175.92,172.47,151.51,118.85,176.86,144.86,123.22,170.91,188.6,230.38,130.26,,23,979,39,25.99,
07.03.23 01:38:49,2.55,208.04,153.03,210.67,246.12,157.92,156.39,146.67,143.36,188.92,196.64,166.24,180.96,152.42,175.29,172.78,152.12,117.98,176.86,144.86,122.93,170.91,188.6,230.38,130.26,,23,979,39,25.99,
07.03.23 01:39:04,2.8,206.07,151.21,210.34,245.43,158.23,155.17,145.76,143.06,187.64,196.31,165.93,180.02,151.82,175.29,172.78,150.91,117.69,176.23,144.56,122.93,171.22,188.6,230.38,129.97,,23,979,39,25.99,
07.03.23 01:39:19,3.05,205.75,151.21,209.03,245.08,157.31,154.86,145.46,141.86,187,196.31,165.93,180.02,151.21,175.29,172.47,150.3,117.11,175.61,143.96,121.76,170.29,188.6,230.04,129.38,,23,979,39,25.99,
07.03.23 01:39:35,3.32,205.42,150.3,208.37,245.43,155.78,154.25,142.46,141.56,187,195.67,165.93,179.38,150.91,175.29,171.85,149.39,116.24,174.98,143.66,121.76,170.6,188.28,229.03,129.08,,23,979,39,25.98,979D6-(E1);
07.03.23 01:39:50,3.57,204.11,150,207.71,244.39,155.47,153.64,144.56,140.66,186.04,194.7,165.31,179.07,150.3,174.66,171.85,150,116.24,174.35,143.06,121.18,170.29,188.28,229.36,128.2,,23,979,39,25.99,
07.03.23 01:40:05,3.82,204.44,149.69,207.71,244.74,155.17,153.03,143.36,140.36,186.04,194.38,164.39,179.07,149.69,173.1,172.47,148.78,115.66,174.35,142.76,120.59,170.6,188.28,229.03,127.61,,23,979,39,25.99,
07.03.23 01:40:20,4.07,203.46,149.69,207.06,244.05,154.86,152.42,143.36,140.06,184.45,194.7,164.08,179.07,149.39,172.47,171.85,149.09,115.09,173.41,142.76,120.59,170.6,187.64,229.36,127.91,,23,979,39,25.98,
07.03.23 01:40:35,4.32,202.8,149.39,207.06,244.39,153.95,151.51,143.06,139.46,184.45,193.73,164.39,177.81,149.39,172.78,172.16,148.48,114.8,172.78,142.46,119.43,170.29,187.64,229.7,127.61,,23,979,39,25.99,
07.03.23 01:40:50,4.57,202.15,147.88,206.4,243.7,153.64,151.21,142.16,138.87,184.14,193.41,163.77,177.18,148.48,172.16,171.22,147.57,113.07,171.53,141.56,119.72,170.29,187.96,229.36,127.02,,23,979,39,25.98,
07.03.23 01:41:05,4.82,201.83,148.48,206.07,244.05,153.64,151.21,142.16,138.27,184.14,193.09,163.77,177.49,148.48,172.16,171.85,147.57,113.07,171.85,141.56,119.72,170.6,187.64,228.69,127.32,,23,979,39,25.99,
07.03.23 01:41:20,5.07,201.18,148.18,205.42,243.36,153.64,149.69,141.86,138.27,183.5,192.77,162.84,177.18,147.88,170.6,171.85,147.88,112.2,170.91,141.56,118.85,170.29,187.64,228.69,126.73,,23,979,39,25.98,
07.03.23 01:41:35,5.32,200.85,147.57,205.09,243.01,152.73,149.09,141.26,136.18,182.55,191.8,162.53,175.61,147.88,170.6,171.53,146.37,111.06,170.29,140.66,118.56,170.29,187.32,228.69,126.44,,23,979,39,25.98,
07.03.23 01:41:50,5.57,200.2,147.57,205.09,243.36,152.12,149.09,140.66,136.18,182.23,191.8,161.92,176.86,147.27,169.97,170.91,145.76,111.34,169.66,140.96,118.27,170.29,187.32,228.69,125.27,,23,979,39,25.98,
07.03.23 01:42:05,5.82,199.23,146.67,204.76,243.36,150.91,148.48,140.36,135.29,181.6,190.84,161.61,175.92,146.97,169.66,171.53,146.37,110.48,168.73,140.36,117.69,170.6,187.64,228.35,125.56,,23,979,39,25.99,
07.03.23 01:42:21,6.08,198.9,146.67,204.44,242.67,150.6,147.27,140.06,135.59,181.6,189.88,161.3,175.61,146.97,169.04,170.6,145.46,109.62,168.73,140.06,116.82,170.6,187.32,228.01,124.97,,23,979,39,25.99,
07.03.23 01:42:36,6.33,198.58,146.07,203.78,243.01,149.69,146.97,140.06,135,180.65,189.56,159.76,175.29,146.07,168.73,170.6,145.16,109.33,167.49,139.76,116.24,170.6,187,228.35,124.39,,23,979,39,25.99,
07.03.23 01:42:51,6.58,198.25,146.07,203.46,242.33,149.69,147.27,140.06,133.81,180.02,188.92,159.76,175.29,145.76,168.11,170.91,144.56,108.76,166.86,139.46,116.53,170.91,186.68,228.01,124.39,,23,979,39,25.99,
07.03.23 01:43:06,6.83,197.61,146.07,203.13,242.67,149.39,146.67,139.46,133.81,179.7,188.6,160.07,174.98,145.46,167.17,170.91,144.56,108.19,166.86,138.87,116.24,170.91,186.68,228.35,124.39,,23,979,39,25.99,
07.03.23 01:43:21,7.08,197.28,145.16,203.13,242.67,149.39,145.76,138.57,133.22,179.38,188.28,160.07,174.04,145.16,167.17,170.29,143.36,107.05,166.24,138.87,115.38,170.91,186.68,228.01,124.09,,23,979,39,25.99,
07.03.23 01:43:36,7.33,196.64,145.76,202.8,243.01,148.48,145.16,138.27,133.22,179.07,187.64,159.45,174.35,144.86,166.55,170.6,143.66,107.05,165.31,138.27,115.38,171.53,186.36,227.68,123.51,,23,979,39,25.99,
07.03.23 01:43:51,7.58,196.31,144.86,201.83,242.33,147.57,145.16,137.97,132.03,178.44,186.68,158.53,174.04,144.26,165.31,170.29,142.46,106.48,164.08,137.67,114.51,171.53,185.73,226.33,123.51,,23,979,39,25.99,
07.03.23 01:44:06,7.83,195.99,145.46,202.48,242.33,146.97,144.56,137.97,132.33,179.07,187,158.84,173.1,143.66,165.62,170.6,143.06,105.62,163.77,138.57,114.8,171.85,186.04,227,123.51,,23,979,39,25.98,
07.03.23 01:44:21,8.08,195.67,144.56,201.18,242.67,146.37,143.96,136.48,132.03,177.18,185.73,157.92,172.47,143.06,164.7,169.97,141.86,105.05,163.15,137.67,114.51,171.85,185.41,225.99,122.93,,23,979,39,25.98,
07.03.23 01:44:36,8.33,195.34,144.56,201.5,242.33,146.67,143.96,137.08,131.44,177.49,185.09,158.53,172.78,143.06,164.39,170.6,142.16,105.05,162.53,137.67,113.93,172.78,185.73,227.68,122.63,,23,979,39,25.99,
07.03.23 01:44:51,8.58,194.7,143.96,201.5,241.98,146.67,143.06,136.78,131.15,177.18,184.77,157,172.16,142.76,164.08,169.66,141.56,104.48,161.61,137.38,114.22,172.78,185.73,226.67,122.05,,23,979,39,26,
07.03.23 01:45:06,8.83,194.05,143.96,200.85,241.64,145.46,143.06,136.48,130.56,176.86,184.45,157,172.47,143.06,163.46,170.29,141.56,103.63,160.99,137.08,113.07,173.1,185.41,226.33,122.05,,23,979,39,25.99,
07.03.23 01:45:22,9.1,194.05,142.76,199.88,240.95,144.86,142.46,135.59,129.67,175.92,183.5,156.7,170.91,142.16,163.46,169.66,140.96,103.06,160.07,136.78,113.07,173.72,184.77,226.33,122.05,,23,979,39,25.99,
07.03.23 01:45:37,9.35,193.73,143.96,200.53,242.33,145.16,141.56,134.7,129.38,174.98,182.55,156.7,171.22,141.56,162.53,169.35,140.66,103.34,159.76,136.18,112.49,174.04,185.09,225.99,121.76,,23,979,39,25.99,
07.03.23 01:45:52,9.6,193.41,143.66,200.53,241.98,144.26,142.16,135.59,129.38,174.98,182.87,155.78,170.6,141.26,161.61,169.04,140.36,102.49,159.15,135.59,112.2,174.04,184.45,225.66,121.18,,23,979,39,25.99,
07.03.23 01:46:07,9.85,193.73,143.06,200.2,241.98,144.26,141.56,134.7,129.38,174.66,182.23,155.78,170.91,141.56,161.61,169.35,140.06,102.21,159.15,135.59,112.49,174.04,185.09,225.99,121.47,,23,979,39,25.99,
07.03.23 01:46:22,10.1,193.09,142.76,199.55,242.33,143.96,141.56,134.7,128.49,174.35,181.6,155.78,170.6,140.96,161.3,169.04,138.87,101.64,158.23,135.59,111.63,174.66,184.77,225.66,120.89,,23,979,39,26,
07.03.23 01:46:37,10.35,192.77,142.76,198.58,241.29,143.36,140.66,133.51,127.61,173.72,180.65,155.47,170.29,140.66,160.38,169.35,138.87,101.08,157.61,135,111.34,174.98,184.45,225.32,120.01,,23,979,39,26,
07.03.23 01:46:52,10.6,192.12,142.76,199.23,241.29,142.76,139.76,134.11,128.49,173.72,180.65,154.86,169.66,140.06,160.07,169.04,138.87,100.51,156.7,135,111.06,175.92,183.82,225.32,119.43,,23,979,39,26.02,
07.03.23 01:47:07,10.85,192.12,142.46,198.25,241.29,141.86,140.06,133.81,127.02,173.1,179.38,154.25,169.35,139.46,159.45,168.73,138.57,99.94,156.39,134.4,110.48,175.92,183.5,225.32,120.3,,23,979,39,26.02,
07.03.23 01:47:22,11.1,191.8,142.46,197.93,240.95,141.86,138.87,133.22,127.32,172.16,179.38,153.03,169.04,140.06,159.15,168.11,138.57,99.66,156.08,134.11,109.91,175.92,183.82,224.65,120.01,,23,979,39,26.02,
07.03.23 01:47:37,11.35,192.12,141.86,197.93,241.29,141.26,139.16,133.81,127.02,172.78,179.38,153.64,169.35,139.46,159.15,169.35,137.38,99.94,156.08,134.11,110.19,176.86,184.14,224.98,119.14,,23,979,39,25.99,
07.03.23 01:47:53,11.62,191.48,141.26,196.96,240.95,140.36,137.97,132.62,126.14,171.22,178.44,152.73,168.73,138.87,158.23,168.11,137.67,98.81,155.17,133.51,109.62,176.55,183.5,223.64,118.85,,23,979,39,26.02,
07.03.23 01:48:08,11.87,191.8,141.26,196.96,241.29,140.36,137.97,132.03,125.85,171.22,177.81,152.73,168.73,138.57,157.92,167.8,136.78,98.81,153.95,133.81,109.05,177.18,183.82,224.65,119.14,,23,979,39,26.02,
07.03.23 01:48:23,12.12,191.48,141.56,196.96,241.29,140.36,138.27,131.44,126.14,170.91,177.49,152.73,168.42,138.87,157.92,168.11,136.48,97.97,153.64,133.51,109.33,177.18,182.87,224.31,118.85,,23,979,39,26.02,
07.03.23 01:48:38,12.37,191.16,141.56,196.96,241.29,140.06,136.78,131.15,125.56,170.29,176.86,151.51,167.8,137.67,156.39,168.11,136.18,97.69,153.03,132.62,108.76,177.49,182.87,223.98,117.98,,23,979,39,26.02,
07.03.23 01:48:54,12.63,191.8,140.96,196.64,241.29,140.06,137.38,131.44,124.97,170.29,175.92,151.82,167.49,137.38,155.78,167.49,136.48,97.12,152.12,133.22,108.76,177.81,182.87,224.31,117.98,,23,979,39,26,
07.03.23 01:49:09,12.88,191.16,140.96,195.99,241.64,140.36,136.78,131.15,124.97,169.66,175.61,152.12,167.17,137.08,155.78,167.8,135.29,97.4,152.42,132.92,108.48,177.49,183.18,223.3,117.98,,23,979,39,26,
07.03.23 01:49:24,13.13,191.48,141.26,195.67,242.33,138.87,136.48,131.15,125.56,169.04,174.98,151.21,167.49,137.08,155.17,168.42,135.29,97.12,151.51,132.33,108.48,178.12,183.18,223.64,117.69,,23,979,39,26.02,
07.03.23 01:49:39,13.38,191.48,140.36,195.99,240.61,138.57,135.89,130.26,124.39,168.73,174.35,150.6,165.62,136.18,154.25,167.17,135,96.28,150.6,131.44,107.05,177.81,181.91,223.3,117.4,,23,979,39,26.02,
07.03.23 01:49:54,13.63,191.48,140.66,196.31,242.33,138.27,136.18,130.26,124.39,169.35,174.35,150.91,167.17,135.89,154.86,168.11,135,96.28,150.6,132.62,107.9,178.44,182.87,223.3,117.4,,23,979,39,26.03,
07.03.23 01:50:09,13.88,192.77,140.06,195.34,241.64,137.38,135.29,129.67,124.39,167.8,173.72,150,166.55,135.89,153.95,167.49,133.81,95.44,149.39,132.03,107.05,178.75,182.23,222.63,117.11,,23,979,39,26.03,
07.03.23 01:50:25,14.15,192.12,140.36,195.34,241.64,138.27,134.7,129.97,124.97,168.11,173.41,150,165.93,135.89,153.64,167.49,134.4,95.44,148.78,131.74,107.05,178.75,182.87,223.64,116.82,,23,979,39,26.03,
07.03.23 01:50:40,14.4,192.12,139.46,195.02,241.98,137.08,134.7,128.79,124.68,167.49,172.47,149.09,165.93,135.29,152.73,166.86,133.51,94.31,148.48,131.44,106.19,178.12,181.6,221.96,116.53,,23,979,39,26.03,