Measurement Name :,20230510_Plate4_Meas-710,,Generated On :,"10/05/2023, 17:03:41",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"10/05/2023, 16:44:04",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"10/05/2023, 17:03:09",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
10.05.23 16:44:06,0.03,169.08,159.81,187.34,201.5,187.97,198.9,154.62,188.29,97.25,168.46,195.35,192.13,165.98,158.28,177.21,186.06,114.33,187.66,193.1,187.97,169.39,173.44,187.97,180.99,,23,965,39,22.45,
10.05.23 16:44:21,0.28,168.77,159.2,186.06,200.52,187.34,198.9,151.88,186.7,95.84,167.22,195.35,190.53,165.67,157.36,175.95,184.16,113.46,187.34,192.78,186.7,168.77,172.19,187.97,178.78,,23,965,39,22.48,
10.05.23 16:44:36,0.53,168.15,158.89,184.79,199.88,188.61,198.9,151.27,185.11,94.44,166.91,195.35,190.21,165.36,156.45,175.01,183.2,113.17,187.97,192.45,185.74,168.15,171.26,187.34,177.84,,23,965,39,22.52,
10.05.23 16:44:51,0.78,168.15,158.59,184.16,198.9,187.66,198.9,148.85,184.16,93.6,165.98,194.71,189.25,164.43,155.22,174.07,181.94,112.03,186.7,192.45,183.84,167.84,171.26,187.02,175.64,,23,965,39,22.54,
10.05.23 16:45:06,1.03,167.22,157.36,182.25,197.29,187.66,198.26,147.64,182.57,91.92,165.05,195.35,187.66,163.51,154.01,172.51,180.67,111.16,186.06,192.13,182.57,166.6,169.7,185.74,174.7,,23,965,39,22.54,
10.05.23 16:45:21,1.28,166.6,157.97,181.94,197.29,188.29,198.58,146.43,180.99,91.36,164.43,194.71,187.34,163.2,154.01,171.57,179.73,111.16,186.38,191.49,181.62,166.6,169.39,185.74,173.76,,23,965,39,22.55,
10.05.23 16:45:36,1.53,167.53,157.36,180.36,196.96,188.29,198.9,145.53,180.36,89.97,163.2,194.71,186.7,162.27,152.79,170.64,178.78,110.3,186.06,191.81,180.36,165.67,168.77,185.11,173.13,,23,965,39,22.57,
10.05.23 16:45:51,1.78,166.6,157.36,179.41,196.32,187.66,198.9,144.03,178.78,89.69,162.89,195.03,186.38,161.66,152.18,169.7,178.15,109.45,185.11,191.17,179.41,165.36,168.15,184.47,171.88,,23,965,39,22.59,
10.05.23 16:46:06,2.03,165.98,156.14,178.78,194.71,187.66,198.26,142.83,176.89,88.3,162.27,194.71,185.74,160.43,150.97,168.15,176.58,108.59,184.16,190.85,177.84,164.43,167.22,184.16,170.32,,23,965,39,22.59,
10.05.23 16:46:21,2.28,166.6,156.45,177.84,194.06,187.34,198.9,141.33,175.95,87.19,161.96,195.03,184.79,159.81,150.36,167.22,175.95,108.59,184.47,190.53,176.89,164.43,166.6,184.16,170.01,,23,965,39,22.59,
10.05.23 16:46:36,2.53,165.67,156.75,176.58,192.78,187.34,198.9,140.14,174.38,86.36,161.35,194.71,184.79,159.2,149.45,166.29,175.01,108.3,183.84,190.85,175.95,163.81,165.67,183.84,169.7,,23,965,39,22.59,
10.05.23 16:46:51,2.78,165.05,155.22,175.32,192.78,187.34,198.26,139.24,173.44,84.98,160.12,194.38,183.2,158.28,147.94,164.74,173.76,107.16,183.52,190.21,174.7,162.89,165.05,182.89,168.15,,23,965,39,22.61,
10.05.23 16:47:06,3.03,164.74,155.22,174.38,190.53,187.02,198.58,138.35,172.19,84.7,160.12,194.71,183.2,157.36,147.04,164.43,173.44,106.87,182.89,189.57,173.76,162.89,164.74,182.89,167.22,,23,965,39,22.61,
10.05.23 16:47:21,3.28,164.74,155.53,173.13,190.53,187.02,198.26,136.56,170.95,83.32,158.89,194.06,182.25,157.06,146.43,163.2,172.19,106.02,182.57,189.89,173.13,161.66,163.2,182.25,166.6,,23,965,39,22.64,
10.05.23 16:47:36,3.53,164.12,154.31,172.51,188.93,186.7,198.26,135.97,170.01,82.77,158.28,194.06,181.94,156.75,145.53,161.66,170.64,105.45,182.25,189.25,172.19,161.66,162.89,181.62,165.98,,23,965,39,22.64,
10.05.23 16:47:51,3.78,164.74,154.62,172.19,189.25,186.7,198.9,135.08,169.08,81.39,157.97,194.38,181.62,156.14,145.23,161.66,170.95,105.17,182.25,189.25,171.88,161.35,162.58,181.62,165.98,,23,965,39,22.64,
10.05.23 16:48:06,4.03,164.43,154.62,170.64,188.29,187.02,198.58,134.48,167.84,80.84,156.75,194.71,180.67,155.53,144.03,160.12,170.01,104.88,181.62,188.93,170.64,160.43,161.96,181.3,164.43,,23,965,39,22.64,
10.05.23 16:48:21,4.28,163.2,154.01,169.7,187.66,186.7,197.93,133,166.29,79.74,156.75,194.38,180.67,154.62,143.13,159.2,169.08,104.03,181.3,188.93,170.01,160.12,161.35,180.99,164.12,,23,965,39,22.64,
10.05.23 16:48:36,4.53,163.51,153.4,168.46,187.02,187.02,198.26,133,165.05,78.92,155.83,194.71,179.73,154.01,142.53,158.28,168.46,104.03,180.99,188.93,169.7,159.81,160.73,180.36,163.81,,23,965,39,22.66,
10.05.23 16:48:51,4.78,163.2,154.01,167.53,186.38,187.02,198.58,131.23,164.43,78.1,155.53,194.06,178.78,153.09,141.33,157.67,167.53,103.18,180.04,188.29,167.84,159.2,160.12,180.04,163.51,,23,965,39,22.66,
10.05.23 16:49:06,5.03,163.2,153.4,166.91,185.43,186.38,198.58,130.64,163.51,77,154.92,194.06,178.78,152.79,140.43,156.75,166.91,102.89,180.04,188.29,167.53,158.59,159.2,179.41,163.2,,23,965,39,22.66,
10.05.23 16:49:21,5.28,162.58,152.49,165.98,185.11,185.74,198.26,129.47,161.66,76.18,153.4,194.38,177.52,151.57,138.94,155.22,165.98,102.33,179.41,187.34,166.6,157.67,157.97,178.78,161.96,,23,965,39,22.68,
10.05.23 16:49:36,5.53,162.27,152.18,165.05,184.16,186.38,197.93,128.29,161.04,75.09,153.09,193.74,177.21,151.27,138.64,154.62,165.36,101.76,179.1,187.02,166.29,157.67,157.67,178.78,161.66,,23,965,39,22.68,
10.05.23 16:49:51,5.78,162.89,152.18,163.81,183.52,187.02,198.58,128.29,159.81,74.55,153.09,194.71,177.21,150.97,138.05,154.31,165.05,101.48,179.41,187.34,165.36,157.06,157.06,178.78,161.96,,23,965,39,22.68,
10.05.23 16:50:06,6.03,162.58,151.57,163.2,182.89,186.38,198.58,126.82,158.89,73.73,151.57,194.06,176.58,150.06,136.56,153.4,164.12,100.91,178.47,187.02,164.74,156.75,156.45,177.84,160.73,,23,965,39,22.68,
10.05.23 16:50:21,6.28,162.27,152.18,161.96,182.25,186.06,198.9,126.24,157.67,72.64,150.36,193.42,175.32,149.15,135.67,152.18,163.2,100.91,178.15,186.06,162.89,156.14,155.53,177.21,160.12,,23,965,39,22.68,
10.05.23 16:50:36,6.53,162.58,151.88,161.04,181.3,186.7,197.93,125.65,156.45,71.83,149.45,194.06,175.32,148.55,135.08,150.97,162.27,100.06,177.84,185.74,163.2,155.53,155.22,176.89,159.81,,23,965,39,22.68,
10.05.23 16:50:51,6.78,162.27,150.66,160.12,180.67,186.06,198.26,124.19,155.53,70.74,148.55,193.74,174.7,147.64,133.89,150.36,161.96,99.78,177.52,185.43,161.96,154.92,154.31,176.89,159.51,,23,965,39,22.7,
10.05.23 16:51:06,7.03,161.96,150.97,159.2,180.36,186.7,198.26,123.9,154.01,70.74,147.64,194.06,174.7,147.34,133.6,149.76,161.04,99.5,176.58,185.74,161.04,154.62,154.01,176.26,159.2,,23,965,39,22.68,
10.05.23 16:51:21,7.28,162.58,150.97,158.28,181.3,187.02,199.23,123.6,154.01,70.47,147.94,194.06,174.7,146.74,132.71,149.15,160.73,98.94,176.89,185.43,160.73,154.62,153.09,175.95,159.81,,23,965,39,22.7,
10.05.23 16:51:36,7.53,162.27,150.06,157.67,179.73,187.02,198.58,123.02,152.49,69.12,146.74,193.74,174.07,146.43,131.82,148.24,159.81,98.37,176.26,185.43,159.81,153.7,152.18,175.64,158.89,,23,965,39,22.7,
10.05.23 16:51:51,7.78,161.66,150.66,157.06,177.84,186.7,198.26,122.15,151.88,68.31,145.83,193.42,172.82,145.83,130.94,147.04,159.51,98.09,176.26,184.79,158.89,153.4,151.57,175.01,158.28,,23,965,39,22.7,
10.05.23 16:52:06,8.03,162.58,150.06,155.83,177.21,187.34,198.58,121.56,150.66,67.77,145.23,194.06,172.51,145.53,130.35,146.43,159.2,97.81,175.95,184.47,157.97,153.09,150.97,175.01,157.97,,23,965,39,22.7,
10.05.23 16:52:21,8.28,162.27,150.66,154.92,177.21,187.34,198.58,120.69,149.76,66.69,144.03,193.42,172.51,144.63,129.17,145.53,158.89,97.25,175.64,183.84,157.36,152.79,150.36,174.38,157.97,,23,965,39,22.72,
10.05.23 16:52:36,8.53,161.66,148.85,154.31,176.89,187.02,198.58,120.4,148.85,66.15,142.83,193.42,172.19,143.73,128.29,144.33,157.97,96.97,175.64,183.84,156.45,151.88,149.45,174.38,157.67,,23,965,39,22.72,
10.05.23 16:52:51,8.78,161.96,150.06,153.4,176.26,186.38,198.26,120.11,148.24,65.61,141.93,193.74,171.26,143.13,127.12,144.03,157.36,96.68,175.32,183.84,155.53,151.57,148.85,173.76,157.06,,23,965,39,22.72,
10.05.23 16:53:06,9.03,161.66,149.45,152.49,174.7,186.7,198.9,119.82,147.64,65.07,141.93,193.74,170.95,142.83,126.53,143.43,156.45,96.4,175.32,183.52,154.92,151.57,148.55,173.44,156.75,,23,965,39,22.72,
10.05.23 16:53:21,9.28,162.58,148.85,151.88,174.07,186.38,198.58,118.66,146.13,64.54,141.03,193.74,170.95,141.93,126.24,142.53,156.45,96.12,174.7,183.2,154.01,150.97,147.94,173.13,156.14,,23,965,39,22.73,
10.05.23 16:53:36,9.53,161.66,148.85,150.97,173.76,186.7,198.26,118.66,145.53,63.73,139.54,193.74,169.7,141.33,125.07,141.63,155.83,95.84,173.76,182.25,152.79,150.66,146.74,172.82,155.53,,23,965,39,22.73,
10.05.23 16:53:51,9.78,162.27,148.55,150.36,173.13,187.02,198.9,117.79,144.63,63.19,138.64,193.1,169.7,141.03,124.19,141.33,155.53,95.28,174.07,182.25,152.18,150.66,146.13,172.51,155.83,,23,965,39,22.73,
10.05.23 16:54:06,10.03,161.66,148.85,149.15,172.82,186.7,197.93,117.5,144.03,62.39,138.35,193.74,169.7,140.43,123.9,140.43,155.22,95,173.44,181.94,151.27,150.36,145.53,172.19,155.22,,23,965,39,22.73,
10.05.23 16:54:21,10.28,161.66,148.24,148.24,171.26,186.7,198.58,116.63,143.13,61.59,136.56,193.42,168.77,139.24,122.44,139.24,154.31,94.44,173.13,181.3,150.06,149.45,144.93,171.26,154.62,,23,965,39,22.73,
10.05.23 16:54:36,10.53,161.66,147.94,147.34,170.32,185.74,198.58,116.06,142.23,61.32,135.37,193.42,168.77,139.24,121.56,138.64,153.7,94.16,172.82,181.3,149.76,149.15,144.03,171.26,154.62,,23,965,39,22.73,
10.05.23 16:54:51,10.78,161.66,147.34,146.74,170.01,186.06,198.26,115.48,141.33,60.52,133.6,192.78,167.53,137.75,120.69,138.05,153.7,93.6,172.51,180.67,148.85,148.55,143.43,170.95,154.31,,23,965,39,22.73,
10.05.23 16:55:06,11.03,160.73,146.43,145.53,169.7,186.38,197.93,115.19,140.43,59.98,132.41,193.1,167.22,137.45,120.11,136.86,152.79,93.32,172.51,180.04,147.04,148.24,142.83,170.01,153.7,,23,965,39,22.73,
10.05.23 16:55:21,11.28,160.43,146.74,144.03,168.77,185.43,197.61,114.33,139.54,58.92,130.94,192.78,166.29,136.56,118.37,135.97,151.88,92.48,171.26,179.41,146.43,147.04,141.63,169.7,153.09,,23,965,39,22.73,
10.05.23 16:55:36,11.53,160.73,146.74,143.73,167.53,185.74,198.26,114.04,138.94,58.65,129.47,192.78,166.29,136.26,118.08,135.67,151.57,92.2,171.26,178.78,145.53,146.74,141.03,170.01,152.79,,23,965,39,22.73,
10.05.23 16:55:51,11.78,161.04,146.13,142.53,167.53,186.38,197.61,113.17,138.64,58.12,128.29,192.45,165.67,135.37,117.5,135.08,151.27,92.2,170.95,179.1,144.63,146.74,140.43,169.39,152.79,,23,965,39,22.73,
10.05.23 16:56:06,12.03,160.73,146.13,141.93,167.22,185.74,197.61,112.6,137.75,57.58,126.24,192.13,165.05,134.78,116.35,133.89,150.36,91.36,170.95,178.47,143.73,145.83,139.54,168.46,151.88,,23,965,39,22.72,
10.05.23 16:56:21,12.28,160.43,145.83,141.33,165.36,185.74,197.61,112.31,136.56,57.05,124.77,192.13,164.43,134.19,115.48,132.71,150.06,91.08,170.64,177.84,142.53,145.53,138.94,168.46,151.57,,23,965,39,22.7,
10.05.23 16:56:36,12.53,159.81,144.63,140.43,164.43,184.47,197.29,110.59,135.97,56.26,123.02,191.17,163.51,133.3,114.9,132.41,149.15,90.81,170.01,178.15,141.03,145.23,137.75,167.84,150.66,,23,965,39,22.71,
10.05.23 16:56:51,12.78,160.43,145.23,139.24,165.05,185.43,197.29,111.16,134.78,55.46,121.56,192.13,162.89,133.3,113.75,131.82,148.85,90.81,169.7,177.52,141.03,144.93,137.45,167.84,150.97,,23,965,39,22.7,
10.05.23 16:57:06,13.03,159.51,144.63,138.05,163.51,186.06,197.29,110.02,134.78,54.93,120.11,192.13,162.58,132.12,113.17,130.64,147.94,90.25,169.7,177.21,139.84,144.03,136.56,166.91,150.06,,23,965,39,22.68,
10.05.23 16:57:21,13.28,159.51,144.33,137.75,162.89,185.43,197.29,109.73,133.89,54.4,118.66,191.81,162.58,131.53,112.31,129.76,147.64,89.69,169.39,176.58,138.94,143.43,135.97,166.6,149.76,,23,965,39,22.68,
10.05.23 16:57:36,13.53,159.51,143.13,136.26,161.04,184.79,196.64,108.87,132.71,53.08,117.21,190.53,161.35,130.35,110.88,129.47,147.34,89.41,168.46,175.64,137.16,142.53,135.08,165.67,149.15,,23,965,39,22.66,
10.05.23 16:57:51,13.78,159.2,143.13,135.67,161.04,185.11,197.61,107.73,132.41,53.34,116.92,191.49,161.96,130.35,110.59,128.88,147.04,88.86,168.77,176.26,136.86,142.83,134.48,166.29,148.85,,23,965,39,22.64,
10.05.23 16:58:06,14.03,158.89,142.83,135.08,161.04,184.79,196.64,107.73,131.53,52.02,114.61,190.85,160.43,129.17,108.59,127.41,145.83,88.3,167.53,175.32,135.37,141.93,133,165.05,148.24,,23,965,39,22.64,
10.05.23 16:58:21,14.28,158.59,142.53,133.89,159.2,184.47,196.32,106.3,130.35,51.76,113.46,190.85,159.81,129.17,108.02,127.12,145.53,88.3,167.53,174.7,134.78,141.63,132.71,164.43,147.64,,23,965,39,22.64,
10.05.23 16:58:36,14.53,158.28,142.83,133.3,158.89,184.47,197.29,106.02,130.05,50.96,112.89,190.21,159.81,128,107.45,125.94,145.53,87.47,167.53,174.7,133.6,141.33,132.12,164.43,147.34,,23,965,39,22.61,
10.05.23 16:58:51,14.78,158.28,141.63,132.41,157.36,184.16,196.32,105.74,129.76,50.17,112.31,190.21,159.81,127.12,106.3,125.94,144.03,87.47,166.6,174.07,132.12,140.43,130.94,163.81,146.74,,23,965,39,22.61,
10.05.23 16:59:06,15.03,158.59,141.33,131.23,157.97,184.47,196.64,105.45,128.88,49.91,111.16,189.89,158.89,127.41,105.45,125.36,144.63,87.19,166.91,174.07,131.82,140.43,130.35,163.81,146.43,,23,965,39,22.59,
10.05.23 16:59:21,15.28,158.28,141.03,130.64,157.06,184.47,195.99,104.03,127.41,49.12,109.73,189.89,158.28,126.24,104.6,124.48,144.03,86.36,165.67,173.13,129.76,139.84,129.47,163.2,145.83,,23,965,39,22.59,
10.05.23 16:59:36,15.53,157.97,141.33,129.76,156.14,185.11,195.99,103.75,127.41,49.12,109.45,189.25,157.67,126.24,103.75,123.6,143.43,86.36,165.67,172.51,129.47,140.14,129.47,162.89,145.53,,23,965,39,22.57,
10.05.23 16:59:51,15.78,157.67,140.43,128.88,155.53,183.84,196.32,103.46,126.82,48.07,108.3,188.61,157.36,124.77,102.61,122.15,142.83,85.81,165.05,172.51,127.7,138.94,127.7,162.27,144.93,,23,965,39,22.57,
10.05.23 17:00:06,16.03,158.59,140.43,128.58,154.62,184.79,196.32,103.75,125.94,48.33,107.16,189.25,157.06,124.77,102.61,121.86,142.83,86.08,165.67,172.82,127.12,138.64,127.7,162.58,144.63,,23,965,39,22.55,
10.05.23 17:00:21,16.28,158.28,140.73,127.7,153.7,184.79,195.35,102.89,125.36,47.55,105.74,189.25,155.83,124.19,101.2,121.56,141.63,85.53,165.36,171.88,126.53,138.35,126.53,161.66,144.33,,23,965,39,22.54,
10.05.23 17:00:36,16.53,158.28,140.43,126.82,153.4,184.47,195.67,102.61,125.36,47.28,104.88,189.57,156.14,123.9,100.06,120.69,141.63,85.53,165.05,171.57,125.36,138.35,126.53,161.66,144.03,,23,965,39,22.54,
10.05.23 17:00:51,16.78,157.97,140.14,126.24,152.18,184.47,195.35,102.04,124.19,47.02,103.46,188.93,155.22,123.31,99.22,119.82,141.03,84.7,164.74,171.26,123.9,137.45,125.36,161.04,143.73,,23,965,39,22.53,
10.05.23 17:01:06,17.03,157.97,140.14,125.94,151.57,184.47,195.67,101.2,123.6,46.24,103.18,188.93,155.53,123.02,98.65,119.24,141.33,84.98,164.74,171.26,123.6,137.45,124.77,161.04,142.83,,23,965,39,22.52,
10.05.23 17:01:21,17.28,157.67,138.94,124.48,150.97,184.47,195.99,100.91,123.02,45.97,102.04,188.93,154.31,122.44,97.81,118.66,140.43,84.98,164.43,170.95,122.44,137.45,124.48,160.73,142.83,,23,965,39,22.5,
10.05.23 17:01:36,17.53,157.97,139.54,123.31,150.06,184.16,195.67,100.91,121.86,45.97,100.91,188.61,153.4,121.27,96.68,118.08,140.14,84.15,164.12,170.01,121.56,136.56,123.31,160.73,142.23,,23,965,39,22.5,
10.05.23 17:01:51,17.78,158.28,138.94,122.73,149.45,184.16,195.99,100.06,121.56,45.19,99.78,188.29,153.4,121.27,96.4,117.5,139.84,83.6,163.2,169.7,120.4,136.26,122.73,159.81,141.63,,23,965,39,22.5,
10.05.23 17:02:06,18.03,157.97,138.94,122.15,149.15,184.47,195.99,99.78,120.98,45.19,98.65,188.29,153.4,120.98,95.28,116.63,139.24,83.87,163.81,169.7,119.82,136.56,122.15,159.81,141.93,,23,965,39,22.5,
10.05.23 17:02:21,18.28,157.67,138.64,120.98,148.24,183.52,194.71,98.65,120.11,44.67,97.53,187.97,152.49,120.11,93.88,116.06,138.64,83.04,162.89,169.08,117.79,135.08,120.98,158.89,140.43,,23,965,39,22.5,
10.05.23 17:02:36,18.53,157.67,138.05,120.69,147.34,184.47,195.99,98.94,119.82,44.41,97.25,187.34,152.18,119.82,93.04,115.48,137.45,82.77,162.89,168.77,116.92,135.08,120.4,158.89,140.73,,23,965,39,22.48,
10.05.23 17:02:51,18.78,157.97,138.05,120.4,146.43,184.16,195.35,97.81,118.66,43.62,96.4,187.97,151.27,118.95,92.48,114.9,138.05,82.77,162.89,168.15,115.77,134.78,120.11,158.28,140.14,,23,965,39,22.48,